address,amount,duration,cliffDuration,cliffAmount
0xf31b00e025584486f7c37Cf0AE0073c97c12c634,304500000,4 years,1 year,25
0xf31b00e025584486f7c37Cf0AE0073c97c12c634,165500000,4 years,1 year,25
